0x80	25.9	2	47	49	303
0x80	23.3	3	20	23	532
0x80	23.3	3	20	23	532
0x80	24.6	2	33	35	545
0x80	22.6	2	13	15	525
0x80	19.7	1	240	241	496
0x80	19.7	1	240	241	496
0x80	23.3	3	20	23	532
0x80	26.6	1	54	55	310
0x80	30.3	2	91	93	347
0x80	33.6	1	124	125	380
0x80	37.8	1	166	167	422
0x80	44.4	1	232	233	488
0x80	50.1	2	33	35	545
0x80	55.5	1	88	89	344
0x80	60.0	2	133	135	389
0x80	64.3	1	176	177	432
0x80	65.9	1	192	193	448
0x80	67.5	1	208	209	464
0x80	67.5	1	208	209	464
0x80	67.5	1	208	209	464
0x80	69.3	1	226	227	482
0x80	69.3	1	226	227	482
0x80	72.3	1	0	1	512
0x80	69.7	1	230	231	486
0x80	66.9	1	202	203	458
0x80	70.4	2	237	239	493
0x80	76.3	3	40	43	552
0x80	80.7	2	85	87	341
0x80	86.2	1	140	141	396
0x80	86.2	1	140	141	396
0x80	87.6	1	154	155	410
0x80	87.6	1	154	155	410
0x80	87.6	1	154	155	410
0x80	87.5	2	153	155	409
0x80	87.0	1	148	149	404
0x80	87.0	1	148	149	404
0x80	85.9	2	137	139	393
0x80	80.9	2	87	89	343
0x80	73.3	3	10	13	522
0x80	67.1	1	204	205	460
0x80	63.3	1	166	167	422
0x80	59.2	2	125	127	381
0x80	55.3	1	86	87	342
0x80	52.8	2	61	63	317
0x80	47.9	2	11	13	523
0x80	38.6	1	174	175	430
0x80	31.2	1	100	101	356
0x80	29.8	1	86	87	342
0x80	28.5	2	73	75	329
0x80	24.7	3	34	37	546
0x80	20.6	2	249	251	505
0x80	17.8	2	221	223	477
0x80	14.1	1	184	185	440
0x80	10.8	2	151	153	407
0x80	9.1	1	134	135	390
0x80	9.1	1	134	135	390
0x80	9.1	1	134	135	390
0x80	7.2	2	115	117	371
0x80	7.2	2	115	117	371
0x80	7.2	2	115	117	371
0x0	4.8	0	219	219	219
0x0	3.2	0	203	203	203
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
0x0	0.0	0	171	171	171
